<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.04	00:00:00	1.22395	1.22398	1.22280	1.22341	521	0	0
2021.01.04	01:00:00	1.22336	1.22528	1.22304	1.22501	3052	0	0
2021.01.04	02:00:00	1.22501	1.22501	1.22386	1.22407	3534	0	0
2021.01.04	03:00:00	1.22407	1.22557	1.22398	1.22526	3564	0	0
2021.01.04	04:00:00	1.22526	1.22585	1.22495	1.22538	3348	0	0
2021.01.04	05:00:00	1.22539	1.22578	1.22485	1.22550	2183	0	0
2021.01.04	06:00:00	1.22550	1.22552	1.22435	1.22489	1687	0	0
2021.01.04	07:00:00	1.22489	1.22591	1.22413	1.22550	2165	0	0
2021.01.04	08:00:00	1.22549	1.22577	1.22420	1.22561	2493	0	0
2021.01.04	09:00:00	1.22560	1.22689	1.22538	1.22639	3275	0	0
2021.01.04	10:00:00	1.22639	1.22861	1.22619	1.22812	4443	0	0
2021.01.04	11:00:00	1.22812	1.23004	1.22789	1.22932	3958	0	0
2021.01.04	12:00:00	1.22932	1.23001	1.22898	1.22923	3337	0	0
2021.01.04	13:00:00	1.22925	1.22994	1.22913	1.22931	3391	0	0
2021.01.04	14:00:00	1.22931	1.23060	1.22869	1.23032	4213	0	0
2021.01.04	15:00:00	1.23034	1.23049	1.22863	1.22988	5394	0	0
2021.01.04	16:00:00	1.22990	1.23098	1.22836	1.22892	7016	0	0
2021.01.04	17:00:00	1.22892	1.22908	1.22605	1.22719	6988	0	0
2021.01.04	18:00:00	1.22715	1.22775	1.22525	1.22535	6306	0	0
2021.01.04	19:00:00	1.22537	1.22613	1.22500	1.22529	5270	0	0
2021.01.04	20:00:00	1.22529	1.22568	1.22426	1.22511	3105	0	0
2021.01.04	21:00:00	1.22511	1.22526	1.22440	1.22521	2325	0	0
2021.01.04	22:00:00	1.22521	1.22524	1.22416	1.22493	2483	0	0
2021.01.04	23:00:00	1.22493	1.22525	1.22419	1.22473	1569	0	0
2021.01.05	00:00:00	1.22466	1.22518	1.22432	1.22504	402	0	0
2021.01.05	01:00:00	1.22504	1.22535	1.22472	1.22526	1568	0	0
2021.01.05	02:00:00	1.22526	1.22570	1.22472	1.22557	2166	0	0
2021.01.05	03:00:00	1.22557	1.22632	1.22550	1.22572	2120	0	0
2021.01.05	04:00:00	1.22572	1.22730	1.22569	1.22705	2018	0	0
2021.01.05	05:00:00	1.22705	1.22768	1.22675	1.22728	2135	0	0
2021.01.05	06:00:00	1.22728	1.22728	1.22661	1.22691	1532	0	0
2021.01.05	07:00:00	1.22691	1.22735	1.22673	1.22723	1992	0	0
2021.01.05	08:00:00	1.22724	1.22745	1.22667	1.22696	2154	0	0
2021.01.05	09:00:00	1.22696	1.22710	1.22551	1.22582	3798	0	0
2021.01.05	10:00:00	1.22582	1.22786	1.22581	1.22739	5257	0	0
2021.01.05	11:00:00	1.22741	1.22839	1.22685	1.22723	3581	0	0
2021.01.05	12:00:00	1.22724	1.22842	1.22716	1.22771	3226	0	0
2021.01.05	13:00:00	1.22772	1.22906	1.22766	1.22829	3029	0	0
2021.01.05	14:00:00	1.22829	1.22846	1.22660	1.22727	4366	0	0
2021.01.05	15:00:00	1.22727	1.22760	1.22605	1.22626	4836	0	0
2021.01.05	16:00:00	1.22626	1.22786	1.22592	1.22642	5265	0	0
2021.01.05	17:00:00	1.22643	1.22824	1.22540	1.22754	7335	0	0
2021.01.05	18:00:00	1.22754	1.22963	1.22731	1.22944	5809	0	0
2021.01.05	19:00:00	1.22944	1.23051	1.22927	1.22994	4665	0	0
2021.01.05	20:00:00	1.22991	1.23047	1.22925	1.22932	2708	0	0
2021.01.05	21:00:00	1.22932	1.23038	1.22896	1.23033	2382	0	0
2021.01.05	22:00:00	1.23033	1.23056	1.22927	1.22936	2055	0	0
2021.01.05	23:00:00	1.22936	1.22991	1.22895	1.22965	981	0	0
2021.01.06	00:00:00	1.22968	1.23018	1.22915	1.22964	473	0	0
2021.01.06	01:00:00	1.22963	1.23016	1.22945	1.22988	1780	0	0
2021.01.06	02:00:00	1.22985	1.23261	1.22919	1.23091	4443	0	0
2021.01.06	03:00:00	1.23091	1.23154	1.22811	1.22892	8762	0	0
2021.01.06	04:00:00	1.22893	1.22938	1.22768	1.22789	4835	0	0
2021.01.06	05:00:00	1.22788	1.22950	1.22757	1.22859	4294	0	0
2021.01.06	06:00:00	1.22857	1.23065	1.22836	1.22918	4626	0	0
2021.01.06	07:00:00	1.22918	1.23059	1.22916	1.22967	2593	0	0
2021.01.06	08:00:00	1.22966	1.23215	1.22965	1.23166	2950	0	0
2021.01.06	09:00:00	1.23166	1.23455	1.23124	1.23395	6738	0	0
2021.01.06	10:00:00	1.23396	1.23405	1.23222	1.23247	6416	0	0
2021.01.06	11:00:00	1.23247	1.23388	1.23208	1.23382	5476	0	0
2021.01.06	12:00:00	1.23383	1.23442	1.23330	1.23381	4389	0	0
2021.01.06	13:00:00	1.23382	1.23491	1.23336	1.23376	4587	0	0
2021.01.06	14:00:00	1.23375	1.23494	1.23299	1.23403	4950	0	0
2021.01.06	15:00:00	1.23402	1.23448	1.23166	1.23196	6313	0	0
2021.01.06	16:00:00	1.23195	1.23206	1.22924	1.23095	9353	0	0
2021.01.06	17:00:00	1.23093	1.23179	1.22754	1.22824	7512	0	0
2021.01.06	18:00:00	1.22822	1.22925	1.22657	1.22898	6503	0	0
2021.01.06	19:00:00	1.22898	1.23044	1.22855	1.22990	3338	0	0
